isolate	ANI_group	biolog	mean_col	mean_col.drought	mean_col.water	log2(Drought/Water)	Enrichment
SAI001	1	yes	0.062374204	0.037697661	0.087050748	-1.207381693	Water
SAI025	2	yes	0.196751378	0.263999551	0.129503205	1.027547674	Drought
SAI041	16	no	0.417716418	0.386363671	0.449069166	-0.216978221	Water
SAI055	18	yes	0.017506136	0.013707899	0.021304374	-0.636142203	Water
SAI069	8	yes	0.036559434	0.042047396	0.031071473	0.436425826	Drought
SAI072	8	no	0.098697464	0.072548806	0.124846122	-0.783127228	Water
SAI078	5	yes	0.032563735	0.032956072	0.032171398	0.034765648	Drought
SAI083	4	no	0.350566907	0.17667206	0.524461754	-1.569763666	Water
SAI086	8	no	0.085857707	0.044173599	0.127541815	-1.529714029	Water
SAI088	4	yes	0.028375339	0.022345525	0.034405153	-0.62263873	Water
SAI089	4	no	0.485937146	0.314086548	0.657787744	-1.06645997	Water
SAI090	16	no	0.583058131	0.431890208	0.734226054	-0.765559702	Water
SAI097	15	yes	0.122742518	0.188479029	0.057006006	1.725218173	Drought
SAI104	0	no	0.387565984	0.311626093	0.463505876	-0.57277159	Water
SAI108	4	no	0.153055625	0.069739417	0.215542781	-1.627928031	Water
SAI110	21	no	0.315146916	0.135233058	0.495060773	-1.87215777	Water
SAI117	16	no	0.197115307	0.173706793	0.22052382	-0.344280324	Water
SAI119	15	no	0.118887316	0.091384999	0.146389632	-0.679784117	Water
SAI124	16	no	0.477784964	0.203050769	0.752519159	-1.889887826	Water
SAI126	15	no	0.764203385	0.280823987	1.126737934	-2.004413927	Water
SAI127	14	yes	0.053620341	0.08075259	0.026488091	1.608164647	Drought
SAI129	3	yes	0.04510464	0.048004466	0.042204815	0.18576104	Drought
SAI133	16	no	0.327125087	0.132215958	0.522034216	-1.981248049	Water
SAI135	16	no	0.116493056	0.127143462	0.10584265	0.264536186	Drought
SAI142	12	yes	0.173942288	0.239575059	0.108309517	1.145317713	Drought
SAI144	14	no	0.346666384	0.413058482	0.280274287	0.559506664	Drought
SAI145	13	yes	0.119577656	0.129803604	0.109351708	0.247354677	Drought
SAI149	15	no	0.183605267	0.128608696	0.238601839	-0.891616967	Water
SAI163	4	no	0.319668875	0.382042746	0.257295004	0.570310624	Drought
SAI165	4	no	0.153577284	0.124613467	0.182541101	-0.550761345	Water
SAI166	4	no	0.150233416	0.098053466	0.202413366	-1.045664025	Water
SAI168	16	no	0.179273424	0.142935969	0.215610879	-0.59306097	Water
SAI170	19	yes	0.083857451	0.078808413	0.088906489	-0.173939082	Water
SAI173	8	no	0.122832468	0.068573711	0.177091224	-1.368765204	Water
SAI175	21	no	0.103259675	0.077309806	0.129209544	-0.74098932	Water
SAI176	20	yes	0.250087672	0.311671624	0.18850372	0.725433818	Drought
SAI182	17	yes	0.130171825	0.199554301	0.060789349	1.714890898	Drought
SAI186	7	yes	0.04219526	0.055177501	0.029213019	0.917468645	Drought
SAI190	0	no	0.14630328	0.050785248	0.241821313	-2.251460024	Water
SAI195	4	no	0.195913993	0.158072725	0.23375526	-0.564410375	Water
SAI205	21	yes	0.061889411	0.042313735	0.081465087	-0.945055857	Water
SAI208	16	yes	0.075229619	0.074131468	0.076053233	-0.036923491	Water
SAI211	0	no	0.111226289	0.07055277	0.151899807	-1.10634541	Water
SAI214	10	yes	0.0365804	0.033973061	0.039187739	-0.20601116	Water
SAI216	11	yes	0.023133732	0.023782734	0.02248473	0.080969013	Drought
SAI218	16	no	0.143765904	0.117388794	0.170143015	-0.53545323	Water
SAI227	1	yes	0.030724505	0.046532768	0.014916243	1.641362819	Drought
SAI229	9	yes	0.102057485	0.031042358	0.173072612	-2.479067409	Water