isolate	treatment	biolog	variable	value	value_delta
Mock	drought	no	shoot_freshweight_g	0.1365	0
Mock	drought	no	shoot_dryweight_g	0.05125	0
Mock	drought	no	pwc	62.26541048996773	0
Mock	water	no	shoot_freshweight_g	1.77225	0
Mock	water	no	shoot_dryweight_g	0.2285	0
Mock	water	no	pwc	87.09198562909266	0
SAI001	drought	yes	shoot_freshweight_g	0.196	0.0595
SAI001	drought	yes	shoot_dryweight_g	0.07350000000000001	0.022250000000000013
SAI001	drought	yes	pwc	62.16502364909207	-0.10038684087565741
SAI001	water	yes	shoot_freshweight_g	1.9757500000000001	0.20350000000000001
SAI001	water	yes	shoot_dryweight_g	0.24475000000000002	0.016250000000000014
SAI001	water	yes	pwc	87.57733252397821	0.48534689488555216
SAI025	drought	yes	shoot_freshweight_g	0.27325	0.13674999999999998
SAI025	drought	yes	shoot_dryweight_g	0.08675	0.0355
SAI025	drought	yes	pwc	68.05753304783521	5.792122557867479
SAI025	water	yes	shoot_freshweight_g	1.67225	-0.10000000000000009
SAI025	water	yes	shoot_dryweight_g	0.209	-0.019500000000000017
SAI025	water	yes	pwc	87.49322321160109	0.4012375825084291
SAI041	drought	no	shoot_freshweight_g	0.14600000000000002	0.009500000000000008
SAI041	drought	no	shoot_dryweight_g	0.058249999999999996	0.006999999999999999
SAI041	drought	no	pwc	59.69350828397734	-2.5719022059903907
SAI041	water	no	shoot_freshweight_g	1.4875	-0.28475000000000006
SAI041	water	no	shoot_dryweight_g	0.19225	-0.036250000000000004
SAI041	water	no	pwc	87.05509122260042	-0.03689440649223741
SAI055	drought	yes	shoot_freshweight_g	0.2144999999999999	0.0779999999999999
SAI055	drought	yes	shoot_dryweight_g	0.050749999999999997	-5.000000000000004e-4
SAI055	drought	yes	pwc	76.02476423343421	13.759353743466484
SAI055	water	yes	shoot_freshweight_g	2.04825	0.2759999999999998
SAI055	water	yes	shoot_dryweight_g	0.26525	0.03674999999999998
SAI055	water	yes	pwc	86.8819186602407	-0.21006696885196163
SAI069	drought	yes	shoot_freshweight_g	0.21524999999999994	0.07874999999999993
SAI069	drought	yes	shoot_dryweight_g	0.06275	0.011500000000000003
SAI069	drought	yes	pwc	68.97787183159045	6.712461341622721
SAI069	water	yes	shoot_freshweight_g	1.8117500000000002	0.03950000000000009
SAI069	water	yes	shoot_dryweight_g	0.23575000000000002	0.0072500000000000064
SAI069	water	yes	pwc	86.92795132245477	-0.16403430663788754
SAI072	drought	no	shoot_freshweight_g	0.0805	-0.05600000000000001
SAI072	drought	no	shoot_dryweight_g	0.02625	-0.024999999999999998
SAI072	drought	no	pwc	65.8578718979459	3.5924614079781705
SAI072	water	no	shoot_freshweight_g	1.774	0.0017499999999999183
SAI072	water	no	shoot_dryweight_g	0.1965	-0.032
SAI072	water	no	pwc	88.91580529012602	1.8238196610333546
SAI078	drought	yes	shoot_freshweight_g	0.22325000000000028	0.08675000000000027
SAI078	drought	yes	shoot_dryweight_g	0.11824999999999997	0.06699999999999998
SAI078	drought	yes	pwc	46.37598397839086	-15.889426511576865
SAI078	water	yes	shoot_freshweight_g	1.3639999999999999	-0.4082500000000002
SAI078	water	yes	shoot_dryweight_g	0.29000000000000015	0.06150000000000014
SAI078	water	yes	pwc	78.6432682307357	-8.448717398356962
SAI083	drought	no	shoot_freshweight_g	0.344	0.20749999999999996
SAI083	drought	no	shoot_dryweight_g	0.098	0.04675000000000001
SAI083	drought	no	pwc	70.91749778045777	8.652087290490037
SAI083	water	no	shoot_freshweight_g	1.0065	-0.7657500000000002
SAI083	water	no	shoot_dryweight_g	0.13975	-0.08875
SAI083	water	no	pwc	85.81487376307533	-1.2771118660173357
SAI086	drought	no	shoot_freshweight_g	0.1545	0.017999999999999988
SAI086	drought	no	shoot_dryweight_g	0.05175	5.000000000000004e-4
SAI086	drought	no	pwc	66.39353094415408	4.128120454186352
SAI086	water	no	shoot_freshweight_g	1.2835	-0.48875
SAI086	water	no	shoot_dryweight_g	0.15575	-0.07275000000000001
SAI086	water	no	pwc	87.90618200525051	0.8141963761578523
SAI088	drought	yes	shoot_freshweight_g	0.29274999999999984	0.15624999999999983
SAI088	drought	yes	shoot_dryweight_g	0.16074999999999973	0.10949999999999974
SAI088	drought	yes	pwc	44.826343054753536	-17.43906743521419
SAI088	water	yes	shoot_freshweight_g	1.2479999999999996	-0.5242500000000005
SAI088	water	yes	shoot_dryweight_g	0.2942499999999999	0.06574999999999989
SAI088	water	yes	pwc	78.09046640505998	-9.001519224032677
SAI089	drought	no	shoot_freshweight_g	0.194	0.057499999999999996
SAI089	drought	no	shoot_dryweight_g	0.06375	0.012500000000000004
SAI089	drought	no	pwc	67.09178046968745	4.826369979719722
SAI089	water	no	shoot_freshweight_g	1.6385	-0.13375000000000004
SAI089	water	no	shoot_dryweight_g	0.21075	-0.017750000000000016
SAI089	water	no	pwc	86.97474028719927	-0.11724534189339408
SAI090	drought	no	shoot_freshweight_g	0.311	0.1745
SAI090	drought	no	shoot_dryweight_g	0.0995	0.04825000000000001
SAI090	drought	no	pwc	67.88710221965928	5.621691729691555
SAI090	water	no	shoot_freshweight_g	1.26875	-0.5035000000000001
SAI090	water	no	shoot_dryweight_g	0.159	-0.0695
SAI090	water	no	pwc	87.30217561729833	0.21018998820566992
SAI097	drought	yes	shoot_freshweight_g	0.12824999999999998	-0.008250000000000035
SAI097	drought	yes	shoot_dryweight_g	0.08125000000000004	0.030000000000000047
SAI097	drought	yes	pwc	37.83667134413401	-24.428739145833717
SAI097	water	yes	shoot_freshweight_g	1.3607500000000001	-0.4115
SAI097	water	yes	shoot_dryweight_g	0.3287500000000003	0.10025000000000031
SAI097	water	yes	pwc	72.48027867575885	-14.611706953333808
SAI104	drought	no	shoot_freshweight_g	0.30675	0.17025
SAI104	drought	no	shoot_dryweight_g	0.0995	0.04825000000000001
SAI104	drought	no	pwc	67.31103253474261	5.0456220447748805
SAI104	water	no	shoot_freshweight_g	1.909	0.13674999999999993
SAI104	water	no	shoot_dryweight_g	0.2455	0.016999999999999987
SAI104	water	no	pwc	87.1458351207374	0.05384949164474051
SAI108	drought	no	shoot_freshweight_g	0.19333333333333333	0.05683333333333332
SAI108	drought	no	shoot_dryweight_g	0.071	0.019749999999999997
SAI108	drought	no	pwc	40.087628271647645	-22.177782218320083
SAI108	water	no	shoot_freshweight_g	1.3725	-0.39975000000000005
SAI108	water	no	shoot_dryweight_g	0.15575	-0.07275000000000001
SAI108	water	no	pwc	88.93096916870238	1.838983539609714
SAI110	drought	no	shoot_freshweight_g	0.37725	0.24074999999999996
SAI110	drought	no	shoot_dryweight_g	0.13425	0.08300000000000002
SAI110	drought	no	pwc	64.24973347168209	1.9843229817143637
SAI110	water	no	shoot_freshweight_g	1.82975	0.057499999999999885
SAI110	water	no	shoot_dryweight_g	0.242	0.013499999999999984
SAI110	water	no	pwc	86.72495998082044	-0.36702564827221806
SAI117	drought	no	shoot_freshweight_g	0.221	0.08449999999999999
SAI117	drought	no	shoot_dryweight_g	0.0645	0.013250000000000005
SAI117	drought	no	pwc	70.54556158127586	8.280151091308134
SAI117	water	no	shoot_freshweight_g	1.25175	-0.5205000000000002
SAI117	water	no	shoot_dryweight_g	0.14525	-0.08325000000000002
SAI117	water	no	pwc	88.39124040294763	1.299254773854969
SAI119	drought	no	shoot_freshweight_g	0.273	0.1365
SAI119	drought	no	shoot_dryweight_g	0.08275	0.03150000000000001
SAI119	drought	no	pwc	69.68529089343043	7.419880403462706
SAI119	water	no	shoot_freshweight_g	1.369	-0.4032500000000001
SAI119	water	no	shoot_dryweight_g	0.1725	-0.05600000000000002
SAI119	water	no	pwc	87.3577568168653	0.26577118777264275
SAI124	drought	no	shoot_freshweight_g	0.42925	0.29275
SAI124	drought	no	shoot_dryweight_g	0.13375	0.08250000000000002
SAI124	drought	no	pwc	68.17347434089265	5.9080638509249255
SAI124	water	no	shoot_freshweight_g	1.20225	-0.5700000000000001
SAI124	water	no	shoot_dryweight_g	0.24175	0.013249999999999984
SAI124	water	no	pwc	79.81971974755649	-7.272265881536171
SAI126	drought	no	shoot_freshweight_g	0.38	0.2435
SAI126	drought	no	shoot_dryweight_g	0.115	0.06375
SAI126	drought	no	pwc	69.41626972302103	7.150859233053303
SAI126	water	no	shoot_freshweight_g	1.42425	-0.3480000000000001
SAI126	water	no	shoot_dryweight_g	0.19774999999999998	-0.030750000000000027
SAI126	water	no	pwc	86.0935413927948	-0.998444236297857
SAI127	drought	yes	shoot_freshweight_g	0.17674999999999996	0.04024999999999995
SAI127	drought	yes	shoot_dryweight_g	0.09350000000000025	0.04225000000000025
SAI127	drought	yes	pwc	43.49291418882251	-18.772496301145218
SAI127	water	yes	shoot_freshweight_g	1.2000000000000002	-0.5722499999999999
SAI127	water	yes	shoot_dryweight_g	0.23625000000000007	0.007750000000000062
SAI127	water	yes	pwc	79.97078988019673	-7.1211957488959285
SAI129	drought	yes	shoot_freshweight_g	0.08649999999999991	-0.0500000000000001
SAI129	drought	yes	shoot_dryweight_g	0.0295	-0.02175
SAI129	drought	yes	pwc	63.91861226320832	1.653201773240589
SAI129	water	yes	shoot_freshweight_g	1.4599999999999997	-0.31225000000000036
SAI129	water	yes	shoot_dryweight_g	0.211	-0.017500000000000016
SAI129	water	yes	pwc	85.52743881073368	-1.564546818358977
SAI133	drought	no	shoot_freshweight_g	0.25975	0.12324999999999997
SAI133	drought	no	shoot_dryweight_g	0.08375	0.03250000000000001
SAI133	drought	no	pwc	65.71098797736212	3.445577487394395
SAI133	water	no	shoot_freshweight_g	1.8735	0.10124999999999984
SAI133	water	no	shoot_dryweight_g	0.2255	-0.0030000000000000027
SAI133	water	no	pwc	87.92716749769144	0.8351818685987809
SAI135	drought	no	shoot_freshweight_g	0.21875	0.08224999999999999
SAI135	drought	no	shoot_dryweight_g	0.0775	0.026250000000000002
SAI135	drought	no	pwc	64.57109206386407	2.3056815738963437
SAI135	water	no	shoot_freshweight_g	1.2930000000000001	-0.47924999999999995
SAI135	water	no	shoot_dryweight_g	0.15975	-0.06875
SAI135	water	no	pwc	87.64701536512268	0.555029736030022
SAI142	drought	yes	shoot_freshweight_g	0.11775000000000013	-0.018749999999999878
SAI142	drought	yes	shoot_dryweight_g	0.0325	-0.018749999999999996
SAI142	drought	yes	pwc	72.83699754686218	10.571587056894451
SAI142	water	yes	shoot_freshweight_g	1.1910000000000003	-0.5812499999999998
SAI142	water	yes	shoot_dryweight_g	0.1609	-0.06760000000000002
SAI142	water	yes	pwc	86.528364319488	-0.5636213096046561
SAI144	drought	no	shoot_freshweight_g	0.26275	0.12624999999999997
SAI144	drought	no	shoot_dryweight_g	0.06975	0.01850000000000001
SAI144	drought	no	pwc	71.45866650189583	9.193256011928106
SAI144	water	no	shoot_freshweight_g	1.99375	0.2214999999999998
SAI144	water	no	shoot_dryweight_g	0.20625	-0.02225000000000002
SAI144	water	no	pwc	89.62583444020646	2.533848811113799
SAI145	drought	yes	shoot_freshweight_g	0.2510000000000001	0.1145000000000001
SAI145	drought	yes	shoot_dryweight_g	0.07225	0.020999999999999998
SAI145	drought	yes	pwc	70.96529968270178	8.699889192734055
SAI145	water	yes	shoot_freshweight_g	1.436	-0.33625000000000016
SAI145	water	yes	shoot_dryweight_g	0.1975	-0.031
SAI145	water	yes	pwc	86.38063674022828	-0.7113488888643786
SAI149	drought	no	shoot_freshweight_g	0.20124999999999998	0.06474999999999997
SAI149	drought	no	shoot_dryweight_g	0.065	0.013750000000000005
SAI149	drought	no	pwc	67.35771876357452	5.092308273606797
SAI149	water	no	shoot_freshweight_g	1.5655	-0.2067500000000002
SAI149	water	no	shoot_dryweight_g	0.17825	-0.05025000000000002
SAI149	water	no	pwc	88.62472601242511	1.5327403833324524
SAI163	drought	no	shoot_freshweight_g	0.19799999999999998	0.06149999999999997
SAI163	drought	no	shoot_dryweight_g	0.06075	0.0095000000000000015
SAI163	drought	no	pwc	70.8074050750007	8.541994585032974
SAI163	water	no	shoot_freshweight_g	1.515	-0.2572500000000002
SAI163	water	no	shoot_dryweight_g	0.17074999999999999	-0.057750000000000024
SAI163	water	no	pwc	88.6953731510152	1.6033875219225422
SAI165	drought	no	shoot_freshweight_g	0.1385	0.0020000000000000018
SAI165	drought	no	shoot_dryweight_g	0.04625	-0.0049999999999999975
SAI165	drought	no	pwc	66.69674964263379	4.431339152666062
SAI165	water	no	shoot_freshweight_g	1.91625	0.1439999999999999
SAI165	water	no	shoot_dryweight_g	0.20225	-0.026249999999999996
SAI165	water	no	pwc	89.27997214082441	2.1879865117317507
SAI166	drought	no	shoot_freshweight_g	0.2895	0.15299999999999997
SAI166	drought	no	shoot_dryweight_g	0.07775	0.026500000000000003
SAI166	drought	no	pwc	73.05413213203619	10.78872164206846
SAI166	water	no	shoot_freshweight_g	1.92	0.14774999999999983
SAI166	water	no	shoot_dryweight_g	0.19775	-0.03075
SAI166	water	no	pwc	89.72266028862	2.630674659527344
SAI168	drought	no	shoot_freshweight_g	0.33575	0.19924999999999998
SAI168	drought	no	shoot_dryweight_g	0.08424999999999999	0.032999999999999995
SAI168	drought	no	pwc	74.91641204359667	12.651001553628937
SAI168	water	no	shoot_freshweight_g	1.8215000000000001	0.049250000000000016
SAI168	water	no	shoot_dryweight_g	0.19375	-0.03475
SAI168	water	no	pwc	89.333871909182207	2.2418862800895454
SAI170	drought	yes	shoot_freshweight_g	0.22599999999999998	0.08949999999999997
SAI170	drought	yes	shoot_dryweight_g	0.06925	0.01800000000000001
SAI170	drought	yes	pwc	69.26310745845856	6.9976969684908354
SAI170	water	yes	shoot_freshweight_g	1.65625	-0.1160000000000001
SAI170	water	yes	shoot_dryweight_g	0.2	-0.028499999999999998
SAI170	water	yes	pwc	87.919240678795	0.8272550497023445
SAI173	drought	no	shoot_freshweight_g	0.2335	0.097
SAI173	drought	no	shoot_dryweight_g	0.0695	0.01825000000000001
SAI173	drought	no	pwc	69.31244574445125	7.047035254483525
SAI173	water	no	shoot_freshweight_g	1.9565	0.1842499999999998
SAI173	water	no	shoot_dryweight_g	0.2305	0.0020000000000000018
SAI173	water	no	pwc	88.20917167226607	1.1171860431734046
SAI175	drought	no	shoot_freshweight_g	0.3765	0.24
SAI175	drought	no	shoot_dryweight_g	0.105	0.05375
SAI175	drought	no	pwc	71.91929627996922	9.653885790001489
SAI175	water	no	shoot_freshweight_g	1.6675	-0.10475000000000012
SAI175	water	no	shoot_dryweight_g	0.2005	-0.027999999999999997
SAI175	water	no	pwc	87.95506657934405	0.863080950251387
SAI176	drought	yes	shoot_freshweight_g	0.20675	0.07024999999999998
SAI176	drought	yes	shoot_dryweight_g	0.0585	0.0072500000000000064
SAI176	drought	yes	pwc	71.1125671158299	8.847156625862176
SAI176	water	yes	shoot_freshweight_g	1.67575	-0.09650000000000003
SAI176	water	yes	shoot_dryweight_g	0.20950000000000002	-0.01899999999999999
SAI176	water	yes	pwc	87.47297877640395	0.38099314731128686
SAI182	drought	yes	shoot_freshweight_g	0.16525000000000012	0.02875000000000011
SAI182	drought	yes	shoot_dryweight_g	0.0485	-0.0027499999999999955
SAI182	drought	yes	pwc	70.49890840424902	8.233497914281294
SAI182	water	yes	shoot_freshweight_g	1.4964999999999997	-0.2757500000000004
SAI182	water	yes	shoot_dryweight_g	0.1985	-0.03
SAI182	water	yes	pwc	86.72948005164082	-0.36250557745184153
SAI186	drought	yes	shoot_freshweight_g	0.14125	0.0047499999999999765
SAI186	drought	yes	shoot_dryweight_g	0.08374999999999988	0.03249999999999988
SAI186	drought	yes	pwc	36.92549153024932	-25.33991895971841
SAI186	water	yes	shoot_freshweight_g	1.471	-0.30125
SAI186	water	yes	shoot_dryweight_g	0.27474999999999994	0.04624999999999993
SAI186	water	yes	pwc	81.26114522027034	-5.830840408822326
SAI190	drought	no	shoot_freshweight_g	0.2485	0.11199999999999999
SAI190	drought	no	shoot_dryweight_g	0.08975	0.0385
SAI190	drought	no	pwc	61.83314485794276	-0.43226563202496493
SAI190	water	no	shoot_freshweight_g	1.6869999999999998	-0.08525000000000027
SAI190	water	no	shoot_dryweight_g	0.194	-0.0345
SAI190	water	no	pwc	88.53763970574678	1.4456540766541224
SAI195	drought	no	shoot_freshweight_g	0.31175	0.17525000000000002
SAI195	drought	no	shoot_dryweight_g	0.08249999999999999	0.031249999999999993
SAI195	drought	no	pwc	73.15159629252196	10.88618580255423
SAI195	water	no	shoot_freshweight_g	1.615	-0.1572500000000001
SAI195	water	no	shoot_dryweight_g	0.18675	-0.04175000000000001
SAI195	water	no	pwc	88.4343136771284	1.3423280480357391
SAI205	drought	yes	shoot_freshweight_g	0.10799999999999998	-0.028500000000000025
SAI205	drought	yes	shoot_dryweight_g	0.035250000000000004	-0.015999999999999993
SAI205	drought	yes	pwc	67.33558235851812	5.070171868550396
SAI205	water	yes	shoot_freshweight_g	1.2755	-0.49675
SAI205	water	yes	shoot_dryweight_g	0.16775	-0.06075
SAI205	water	yes	pwc	86.82441633540046	-0.2675692936922047
SAI208	drought	yes	shoot_freshweight_g	0.30100000000000005	0.16450000000000004
SAI208	drought	yes	shoot_dryweight_g	0.12849999999999984	0.07724999999999985
SAI208	drought	yes	pwc	56.899720031361625	-5.365690458606103
SAI208	water	yes	shoot_freshweight_g	1.5975000000000001	-0.17474999999999996
SAI208	water	yes	shoot_dryweight_g	0.28900000000000015	0.06050000000000014
SAI208	water	yes	pwc	81.4037470393974	-5.68823858969526
SAI211	drought	no	shoot_freshweight_g	0.337	0.2005
SAI211	drought	no	shoot_dryweight_g	0.073	0.02175
SAI211	drought	no	pwc	76.87034550534997	14.604935015382246
SAI211	water	no	shoot_freshweight_g	1.91125	0.1389999999999998
SAI211	water	no	shoot_dryweight_g	0.214	-0.014500000000000013
SAI211	water	no	pwc	88.80246712878863	1.7104814996959732
SAI214	drought	yes	shoot_freshweight_g	0.13874999999999993	0.0022499999999999187
SAI214	drought	yes	shoot_dryweight_g	0.04	-0.011249999999999996
SAI214	drought	yes	pwc	71.07893560929377	8.813525119326037
SAI214	water	yes	shoot_freshweight_g	1.2177499999999997	-0.5545000000000004
SAI214	water	yes	shoot_dryweight_g	0.16	-0.0685
SAI214	water	yes	pwc	86.48668226095778	-0.6053033681348836
SAI216	drought	yes	shoot_freshweight_g	0.16250000000000053	0.026000000000000523
SAI216	drought	yes	shoot_dryweight_g	0.0445	-0.006749999999999999
SAI216	drought	yes	pwc	72.44875907052821	10.183348580560484
SAI216	water	yes	shoot_freshweight_g	1.2670000000000003	-0.5052499999999998
SAI216	water	yes	shoot_dryweight_g	0.1675	-0.061
SAI216	water	yes	pwc	86.80821902137474	-0.28376660771792217
SAI218	drought	no	shoot_freshweight_g	0.263	0.1265
SAI218	drought	no	shoot_dryweight_g	0.07175000000000001	0.02050000000000001
SAI218	drought	no	pwc	72.74142902904276	10.476018539075035
SAI218	water	no	shoot_freshweight_g	1.50125	-0.27100000000000013
SAI218	water	no	shoot_dryweight_g	0.18425	-0.04425000000000001
SAI218	water	no	pwc	87.49043677850791	0.3984511494152514
SAI227	drought	yes	shoot_freshweight_g	0.13275000000000003	-0.0037499999999999756
SAI227	drought	yes	shoot_dryweight_g	0.07299999999999995	0.021749999999999957
SAI227	drought	yes	pwc	43.37415434856641	-18.89125614140132
SAI227	water	yes	shoot_freshweight_g	1.2205000000000001	-0.55175
SAI227	water	yes	shoot_dryweight_g	0.23775000000000013	0.00925000000000012
SAI227	water	yes	pwc	80.5780104350493	-6.513975194043368
SAI229	drought	yes	shoot_freshweight_g	0.1275	-0.009000000000000008
SAI229	drought	yes	shoot_dryweight_g	0.042499999999999996	-0.00875
SAI229	drought	yes	pwc	63.05856183285589	0.7931513428881587
SAI229	water	yes	shoot_freshweight_g	1.63325	-0.139
SAI229	water	yes	shoot_dryweight_g	0.1875	-0.04100000000000001
SAI229	water	yes	pwc	88.52534814877345	1.4333625196807844
